model_family,family,modality,gold,pred,runs,count_mean,count_std,rate_within_gold_mean,rate_within_gold_std
RW-Fusion,RW-Fusion,ta,non_pair,non_pair,3,13352.333333333334,136.06003576852854,0.8629440530817122,0.00879338433196723
RWC-Fusion,RWC-Fusion,tav,emo_cause,emo_cause,3,796.3333333333334,71.84242015225638,0.4438870308435526,0.040045942113855273
RWC-Fusion,RWC-Fusion,tav,emo_cause,emo_context,3,202.66666666666666,44.46721638840611,0.11296915644741733,0.02478663120869907
RWC-Fusion,RWC-Fusion,tav,emo_cause,non_pair,3,795.0,58.1033561853358,0.4431438127090301,0.032387600995170476
RWC-Fusion,RWC-Fusion,tav,emo_context,emo_cause,3,95.0,19.974984355438178,0.09528585757271817,0.020035089624311116
RWC-Fusion,RWC-Fusion,tav,emo_context,emo_context,3,212.66666666666666,36.665151483845435,0.2133065864259445,0.03677547791759822
RWC-Fusion,RWC-Fusion,tav,emo_context,non_pair,3,689.3333333333334,34.31229128655404,0.6914075560013373,0.03441553790025484
RWC-Fusion,RWC-Fusion,tav,non_pair,emo_cause,3,1213.6666666666667,311.76967994552217,0.07843770869686982,0.020149271630939193
RWC-Fusion,RWC-Fusion,tav,non_pair,emo_context,3,1094.0,184.6591454545374,0.07070380663090546,0.01193428200442948
RWC-Fusion,RWC-Fusion,tav,non_pair,non_pair,3,13165.333333333334,239.47720837969786,0.8508584846722247,0.01547710259029913
CLIP,CLIP,v,emo_cause,emo_cause,3,802.3333333333334,123.61769021193257,0.44723151244890375,0.06890618183496801
CLIP,CLIP,v,emo_cause,emo_context,3,138.0,131.05342422081156,0.07692307692307691,0.0730509611041313
CLIP,CLIP,v,emo_cause,non_pair,3,853.6666666666666,73.93465583427931,0.47584541062801927,0.041212182739286105
CLIP,CLIP,v,emo_context,emo_cause,3,393.6666666666667,66.33500835406092,0.3948512203276496,0.06653461219063281
CLIP,CLIP,v,emo_context,emo_context,3,77.33333333333333,75.30161574185067,0.07756603142761619,0.07552820034287931
