run_name,family,model_family,modality,seed,gold,pred,count,rate_within_gold
hilo_tav_seed123,hilo_tav,hilo,tav,123,non_pair,emo_cause,900,0.058165837264913076
hilo_tav_seed123,hilo_tav,hilo,tav,123,non_pair,emo_context,1231,0.07955793963678666
hilo_tav_seed123,hilo_tav,hilo,tav,123,non_pair,non_pair,13342,0.8622762230983002
hilo_tav_seed42,hilo_tav,hilo,tav,42,emo_cause,emo_cause,1043,0.5899321266968326
hilo_tav_seed42,hilo_tav,hilo,tav,42,emo_cause,emo_context,105,0.05938914027149321
hilo_tav_seed42,hilo_tav,hilo,tav,42,emo_cause,non_pair,620,0.3506787330316742
hilo_tav_seed42,hilo_tav,hilo,tav,42,emo_context,emo_cause,136,0.13779128672745694
hilo_tav_seed42,hilo_tav,hilo,tav,42,emo_context,emo_context,169,0.171225937183384
hilo_tav_seed42,hilo_tav,hilo,tav,42,emo_context,non_pair,682,0.690982776089159
hilo_tav_seed42,hilo_tav,hilo,tav,42,non_pair,emo_cause,1188,0.07677890518968526
hilo_tav_seed42,hilo_tav,hilo,tav,42,non_pair,emo_context,629,0.04065145737736703
hilo_tav_seed42,hilo_tav,hilo,tav,42,non_pair,non_pair,13656,0.8825696374329477
hilo_tav_seed456,hilo_tav,hilo,tav,456,emo_cause,emo_cause,1158,0.6549773755656109
hilo_tav_seed456,hilo_tav,hilo,tav,456,emo_cause,emo_context,221,0.125
hilo_tav_seed456,hilo_tav,hilo,tav,456,emo_cause,non_pair,389,0.22002262443438914
hilo_tav_seed456,hilo_tav,hilo,tav,456,emo_context,emo_cause,152,0.1540020263424519
hilo_tav_seed456,hilo_tav,hilo,tav,456,emo_context,emo_context,326,0.3302938196555218
hilo_tav_seed456,hilo_tav,hilo,tav,456,emo_context,non_pair,509,0.5157041540020263
hilo_tav_seed456,hilo_tav,hilo,tav,456,non_pair,emo_cause,1419,0.09170813675434628
hilo_tav_seed456,hilo_tav,hilo,tav,456,non_pair,emo_context,1364,0.08815355781037937
hilo_tav_seed456,hilo_tav,hilo,tav,456,non_pair,non_pair,12690,0.8201383054352743
hilo_tv_seed123,hilo_tv,hilo,tv,123,emo_cause,emo_cause,928,0.5248868778280543
hilo_tv_seed123,hilo_tv,hilo,tv,123,emo_cause,emo_context,179,0.10124434389140272
hilo_tv_seed123,hilo_tv,hilo,tv,123,emo_cause,non_pair,661,0.373868778280543
hilo_tv_seed123,hilo_tv,hilo,tv,123,emo_context,emo_cause,146,0.14792299898682879
hilo_tv_seed123,hilo_tv,hilo,tv,123,emo_context,emo_context,225,0.22796352583586627
hilo_tv_seed123,hilo_tv,hilo,tv,123,emo_context,non_pair,616,0.624113475177305
hilo_tv_seed123,hilo_tv,hilo,tv,123,non_pair,emo_cause,916,0.05919989659406708
hilo_tv_seed123,hilo_tv,hilo,tv,123,non_pair,emo_context,1015,0.06559813869320752
hilo_tv_seed123,hilo_tv,hilo,tv,123,non_pair,non_pair,13542,0.8752019647127254
hilo_tv_seed42,hilo_tv,hilo,tv,42,emo_cause,emo_cause,927,0.5243212669683258
hilo_tv_seed42,hilo_tv,hilo,tv,42,emo_cause,emo_context,81,0.04581447963800905
hilo_tv_seed42,hilo_tv,hilo,tv,42,emo_cause,non_pair,760,0.4298642533936652
hilo_tv_seed42,hilo_tv,hilo,tv,42,emo_context,emo_cause,140,0.14184397163120568
hilo_tv_seed42,hilo_tv,hilo,tv,42,emo_context,emo_context,130,0.13171225937183384
hilo_tv_seed42,hilo_tv,hilo,tv,42,emo_context,non_pair,717,0.7264437689969605
hilo_tv_seed42,hilo_tv,hilo,tv,42,non_pair,emo_cause,989,0.06391779228333226
hilo_tv_seed42,hilo_tv,hilo,tv,42,non_pair,emo_context,361,0.023330963614037355
hilo_tv_seed42,hilo_tv,hilo,tv,42,non_pair,non_pair,14123,0.9127512441026304
hilo_tv_seed456,hilo_tv,hilo,tv,456,emo_cause,emo_cause,940,0.5316742081447964
hilo_tv_seed456,hilo_tv,hilo,tv,456,emo_cause,emo_context,120,0.06787330316742081
hilo_tv_seed456,hilo_tv,hilo,tv,456,emo_cause,non_pair,708,0.4004524886877828
hilo_tv_seed456,hilo_tv,hilo,tv,456,emo_context,emo_cause,148,0.14994934143870314
hilo_tv_seed456,hilo_tv,hilo,tv,456,emo_context,emo_context,123,0.12462006079027356
hilo_tv_seed456,hilo_tv,hilo,tv,456,emo_context,non_pair,716,0.7254305977710233
hilo_tv_seed456,hilo_tv,hilo,tv,456,non_pair,emo_cause,1068,0.06902346022103018
hilo_tv_seed456,hilo_tv,hilo,tv,456,non_pair,emo_context,446,0.028824403800168034
hilo_tv_seed456,hilo_tv,hilo,tv,456,non_pair,non_pair,13959,0.9021521359788018
m3hg_t_seed123,m3hg_t,m3hg,t,123,emo_cause,emo_cause,1162,0.6477146042363434
m3hg_t_seed123,m3hg_t,m3hg,t,123,emo_cause,emo_context,296,0.16499442586399107
m3hg_t_seed123,m3hg_t,m3hg,t,123,emo_cause,non_pair,336,0.18729096989966554
m3hg_t_seed123,m3hg_t,m3hg,t,123,emo_context,emo_cause,97,0.09729187562688064
m3hg_t_seed123,m3hg_t,m3hg,t,123,emo_context,emo_context,407,0.4082246740220662
m3hg_t_seed123,m3hg_t,m3hg,t,123,emo_context,non_pair,493,0.4944834503510532
m3hg_t_seed123,m3hg_t,m3hg,t,123,non_pair,emo_cause,1080,0.06979900471789569
m3hg_t_seed123,m3hg_t,m3hg,t,123,non_pair,emo_context,1197,0.0773605635623344
m3hg_t_seed123,m3hg_t,m3hg,t,123,non_pair,non_pair,13196,0.85284043171977
m3hg_t_seed42,m3hg_t,m3hg,t,42,emo_cause,emo_cause,1149,0.6404682274247492
m3hg_t_seed42,m3hg_t,m3hg,t,42,emo_cause,emo_context,245,0.13656633221850614
m3hg_t_seed42,m3hg_t,m3hg,t,42,emo_cause,non_pair,400,0.2229654403567447
m3hg_t_seed42,m3hg_t,m3hg,t,42,emo_context,emo_cause,120,0.12036108324974924
m3hg_t_seed42,m3hg_t,m3hg,t,42,emo_context,emo_context,368,0.3691073219658977
m3hg_t_seed42,m3hg_t,m3hg,t,42,emo_context,non_pair,509,0.5105315947843531
m3hg_t_seed42,m3hg_t,m3hg,t,42,non_pair,emo_cause,976,0.06307761907839463
m3hg_t_seed42,m3hg_t,m3hg,t,42,non_pair,emo_context,1123,0.0725780391649971
