run_name,family,model_family,modality,seed,pair_role_macro_precision,pair_role_macro_recall,pair_role_macro_f1,pair_role_accuracy,pair_role_emo_cause_precision,pair_role_emo_cause_recall,pair_role_emo_cause_f1,pair_role_emo_context_precision,pair_role_emo_context_recall,pair_role_emo_context_f1,pair_role_non_pair_precision,pair_role_non_pair_recall,pair_role_non_pair_f1,pair_f1,emotion_f1,cause_f1,gold_context_pred_as_cause_rate,gold_context_pred_as_non_pair_rate
hilo_ta_seed456,hilo_ta,hilo,ta,456,0.5266574261160913,0.5282285126128236,0.5273700578136666,0.8310291858678955,0.5099228224917309,0.5231900452488688,0.5164712451144612,0.1611170784103115,0.1519756838905775,0.15641293013555788,0.9089323774462313,0.9095198086990242,0.9092259981909807,0.5124792013311149,0.8832406671961874,0.7825136612021858,0.10536980749746708,0.7426545086119554
hilo_tav_seed42,hilo_tav,hilo,tav,42,0.5135841239976058,0.5479092337710547,0.526938604707386,0.815668202764977,0.44064216307562315,0.5899321266968326,0.5044740024183797,0.18715393133997785,0.171225937183384,0.17883597883597885,0.9129562775772162,0.8825696374329477,0.8975058328677993,0.5015673981191222,0.879416282642089,0.7785939139559286,0.13779128672745694,0.690982776089159
hilo_tav_seed123,hilo_tav,hilo,tav,123,0.5114471384293823,0.5455070910001405,0.5233787614052788,0.7964121132323897,0.47352342158859473,0.5260180995475113,0.4983922829581994,0.14635603345280765,0.24822695035460993,0.184141300263059,0.9144619602467443,0.8622762230983002,0.887602700994578,0.49560351718625095,0.8520807581376185,0.755079006772009,0.13576494427558258,0.6160081053698075
hilo_tav_seed456,hilo_tav,hilo,tav,456,0.5096116152854478,0.601803166885469,0.5377760504496716,0.7775949089313144,0.4243312568706486,0.6549773755656109,0.5150100066711141,0.1705913134484563,0.3302938196555218,0.22498274672187715,0.9339122755372388,0.8201383054352743,0.8733353979560236,0.5119469026548673,0.8722500964878426,0.7867536377320622,0.1540020263424519,0.5157041540020263
hilo_tv_seed42,hilo_tv,hilo,tv,42,0.5278229088248544,0.5229282568142634,0.5202089673308877,0.8327847267939433,0.45087548638132297,0.5243212669683258,0.4848326359832636,0.22727272727272727,0.13171225937183384,0.1667735728030789,0.9053205128205128,0.9127512441026304,0.9090206932063206,0.4815007816571131,0.8633968382650994,0.7431141090500282,0.14184397163120568,0.7264437689969605
hilo_tv_seed123,hilo_tv,hilo,tv,123,0.5129069566909147,0.5426841227922153,0.525003197894002,0.8061773096335308,0.4663316582914573,0.5248868778280543,0.49387972325705165,0.15856236786469344,0.22796352583586627,0.18703241895261846,0.9138268439165935,0.8752019647127254,0.8940974514723359,0.48994708994708996,0.8525829483410333,0.7316791690709752,0.14792299898682879,0.624113475177305
hilo_tv_seed456,hilo_tv,hilo,tv,456,0.5073141508810246,0.5194821349712906,0.5102215032089975,0.8241167434715821,0.4359925788497217,0.5316742081447964,0.47910295616717635,0.17851959361393324,0.12462006079027356,0.1467780429594272,0.9074302801794188,0.9021521359788018,0.9047835105003889,0.4761663286004057,0.8721981911128589,0.7411167512690356,0.14994934143870314,0.7254305977710233
m3hg_t_seed42,m3hg_t,m3hg,t,42,0.5533811612438276,0.6246399637157517,0.5790549964409095,0.8153197547087166,0.5118040089086859,0.6404682274247492,0.5689527110670958,0.2119815668202765,0.3691073219658977,0.26930113428466884,0.9363579080025205,0.8643443417566082,0.8989111439709638,0.5689527110670959,0.8857827476038339,0.7888655462184874,0.12036108324974924,0.5105315947843531
m3hg_t_seed123,m3hg_t,m3hg,t,123,0.5506317644697678,0.6362599033260599,0.5793294872610534,0.8084209373631187,0.496793501496366,0.6477146042363434,0.5623034115654488,0.21421052631578946,0.4082246740220662,0.2809803244735934,0.940891265597148,0.85284043171977,0.8947047257441182,0.5623034115654488,0.8639933856965688,0.8011753183153771,0.09729187562688064,0.4944834503510532
m3hg_t_seed456,m3hg_t,m3hg,t,456,0.5442362669830223,0.6434021878932602,0.5769225368640974,0.8026171703898379,0.4726502311248074,0.6839464882943144,0.558997722095672,0.21620171673819744,0.40421263791374124,0.28171967843411394,0.943856853086062,0.842047437471725,0.8900502100625064,0.558997722095672,0.8863725107379931,0.8006119326874044,0.16349047141424272,0.43229689067201604
m3hg_ta_seed42,m3hg_ta,m3hg,ta,42,0.5526920948555888,0.6198179538732558,0.5787445318393392,0.8204117389399912,0.5027789653698161,0.6555183946488294,0.5690781514638277,0.2208915502328676,0.3329989969909729,0.2656,0.9344057689640827,0.8709364699799651,0.9015554440541896,0.5690781514638277,0.8891472868217055,0.8024254674077818,0.1213640922768305,0.5456369107321966
